delta,y
-62.77999588924817,0.0
-62.78090230483264,31137.103137064725
-62.78180872041712,-93817.18405197561
-62.7827151360016,-214223.74141607434
-62.783621551586066,-93583.49900617823
-62.78452796717055,0.0
-62.78543438275503,-322506.45284853317
-62.78634079833951,-623838.9938550405
-62.787247213923976,-494756.75701807067
-62.78815362950846,-158485.4070503693
-62.78906004509294,0.0
-62.789966460677405,-87126.06520851888
-62.790872876261886,66861.27383563295
-62.79177929184637,209430.26816835254
-62.792685707430834,74579.04894179292
-62.793592123015316,0.0
-62.7944985385998,791527.9387841802
-62.79540495418428,1650750.9315767586
-62.796311369768745,2148796.012577541
-62.797217785353226,2522924.4303167053
-62.79812420093771,3108789.0528848525
-62.799030616522174,3589587.127756931
-62.799937032106655,3578183.795780869
-62.800843447691136,3386927.923311975
-62.8017498632756,3440545.1598626208
-62.802656278860084,3490932.1404415146
-62.803562694444565,3202830.3413458485
-62.804469110029046,2930368.755123783
-62.80537552561351,3092547.4041091483
-62.806281941197994,3361091.9840075746
-62.807188356782476,3290012.797012398
-62.80809477236694,3151152.2011721395
-62.809001187951424,3319465.5062425677
-62.809907603535905,3473918.272076845
-62.81081401912037,3286496.135571154
-62.81172043470485,3260902.295930233
-62.812626850289334,3975122.481425708
-62.813533265873815,5112714.343625881
-62.81443968145828,6141465.351766968
-62.81534609704276,7295624.867052082
-62.816252512627244,8958827.311740441
-62.81715892821171,10739488.384304509
-62.81806534379619,12104650.546952413
-62.81897175938067,13263717.096709345
-62.819878174965154,14492872.896433612
-62.82078459054962,15315207.821669437
-62.8216910061341,15343350.065902129
-62.822597421718584,15203801.039038774
-62.82350383730305,15606480.98578912
-62.82441025288753,16224629.25551529
-62.82531666847201,16501166.366037372
-62.82622308405648,16774563.120651131
-62.82712949964096,17545555.842026435
-62.82803591522544,18433870.125906505
-62.82894233080992,18961916.189692896
-62.82984874639439,19566618.111902013
-62.83075516197887,20728679.106361814
-62.83166157756335,21940844.50369464
-62.83256799314782,22669741.094230134
-62.8334744087323,23463330.417795308
-62.83438082431678,24951431.03592798
-62.83528723990125,26676582.43616619
-62.83619365548573,28104985.811589476
-62.83710007107021,29795590.16706612
-62.83800648665469,32280467.52812898
-62.83891290223916,34789214.438708186
-62.83981931782364,36425305.228579685
-62.84072573340812,37607743.93406453
-62.84163214899259,39002480.38234676
-62.84253856457707,40110878.30874971
-62.84344498016155,40372608.56511913
-62.84435139574602,40595847.84671007
-62.8452578113305,41793105.23695381
-62.84616422691498,43659515.70895396
-62.84707064249946,45676023.03179294
-62.84797705808393,48527692.12733593
-62.84888347366841,52815505.86412283
-62.84978988925289,57546756.77378429
-62.850696304837356,61602648.73603922
-62.85160272042184,65594047.29846409
-62.85250913600632,70637646.36042802
-62.853415551590786,76468113.24233551
-62.85432196717527,82306192.53891736
-62.85522838275975,88192337.98705724
-62.85613479834423,93834249.79524118
-62.857041213928696,97770639.23830028
-62.85794762951318,99575608.91034211
-62.85885404509766,101291398.70763178
-62.859760460682125,104744026.9383512
-62.860666876266606,109132823.0574419
-62.86157329185109,113196572.2730727
-62.862479707435554,117730142.76370338
-62.863386123020035,123724439.38401893
-62.864292538604516,130190377.78740087
-62.865198954189,136394092.28403628
-62.866105369773464,144123446.82686588
-62.867011785357946,155067851.78700748
-62.86791820094243,168191926.73360577
-62.868824616526894,182503819.21020696
-62.869731032111375,199946160.27703312
-62.870637447695856,222452548.34769425
-62.87154386328032,248754530.3963846
-62.872450278864804,277426449.11309355
-62.873356694449285,310297034.90246415
-62.874263110033766,349396312.5641627
-62.87516952561823,393877506.5918283
-62.876075941202714,444027085.2334456
-62.876982356787195,504751682.19870174
-62.87788877237166,580654483.1591877
-62.87879518795614,671815300.5822504
-62.879701603540624,779687537.1048471
-62.88060801912509,912757660.7650253
-62.88151443470957,1080936087.7837756
-62.882420850294054,1290477712.6699462
-62.883327265878535,1551926896.148338
-62.884233681463,1886359440.4687665
-62.88514009704748,2314534684.546935
-62.886046512631964,2846718613.609928
-62.88695292821643,3488799234.149
-62.88785934380091,4232155111.249881
-62.88876575938539,4998441520.8927145
-62.88967217496986,5599140957.549605
-62.89057859055434,5806617273.201384
-62.89148500613882,5514894778.19267
-62.8923914217233,4832178906.198305
-62.89329783730777,3999586763.6214705
-62.89420425289225,3223103004.302056
-62.89511066847673,2585452347.7099433
-62.8960170840612,2082093021.4465086
-62.89692349964568,1688889527.3697731
-62.89782991523016,1385036918.2790158
-62.89873633081463,1147987237.5052884
-62.89964274639911,958129149.8903929
-62.90054916198359,806698980.8464088
-62.90145557756807,689355100.1094095
-62.90236199315254,597218848.0527993
-62.90326840873702,520906947.00436354
-62.9041748243215,457317410.35285527
-62.90508123990597,405900348.771811
-62.90598765549045,362940769.1904058
-62.90689407107493,324784819.55360705
-62.9078004866594,292228877.26681674
-62.90870690224388,266683718.81334305
-62.90961331782836,245534056.51861763
-62.91051973341284,225394961.1860777
-62.91142614899731,206543629.7328326
-62.91233256458179,190357293.6477847
-62.91323898016627,175516389.754785
-62.91414539575074,160273736.7812748
-62.91505181133522,145661465.53096148
-62.9159582269197,133199559.74428366
-62.916864642504166,121948571.94522752
-62.91777105808865,110725324.73287483
-62.91867747367313,100797133.48593135
-62.91958388925761,93609030.46310408
-62.920490304842076,88051205.62046441
-62.92139672042656,82520974.42588563
-62.92230313601104,77608171.4799225
-62.923209551595505,74363586.85648575
-62.924115967179986,71875575.1642443
-62.92502238276447,68793411.09906548
-62.925928798348934,65409430.72749126
-62.926835213933416,62201333.7019454
-62.9277416295179,58184491.51977403
-62.92864804510238,52752627.17567801
