delta,y
-113.04980420433519,0.0
-113.05071061991966,16268.683753895923
-113.05161703550415,68117.32119136147
-113.05252345108862,54612.69235246413
-113.05342986667311,1714.2609683555784
-113.05433628225758,0.0
-113.05524269784205,25601.860653058335
-113.05614911342654,-17508.672177640838
-113.05705552901101,-82438.98199202295
-113.05796194459548,-63966.63159213
-113.05886836017997,0.0
-113.05977477576444,9186.412866943807
-113.0606811913489,-21596.930369843612
-113.0615876069334,1668.380459124106
-113.06249402251787,41665.470936847094
-113.06340043810233,0.0
-113.06430685368683,-92201.64132517006
-113.0652132692713,-107300.7837437091
-113.06611968485576,-75636.0556445244
-113.06702610044026,-101927.94734612387
-113.06793251602473,-152976.83069297328
-113.06883893160919,-128916.69633180526
-113.06974534719369,-75048.04682182899
-113.07065176277816,-103157.71475412691
-113.07155817836265,-171137.85298379493
-113.07246459394712,-161450.22315208026
-113.07337100953158,-107176.16243503994
-113.07427742511608,-117434.57525796391
-113.07518384070055,-155356.67477540555
-113.07609025628501,-119704.30080736114
-113.07699667186951,-67079.49907463556
-113.07790308745398,-116669.05453683937
-113.07880950303844,-215683.16367309005
-113.07971591862294,-240317.3740370014
-113.0806223342074,-242636.4023525901
-113.08152874979187,-346313.5355880874
-113.08243516537637,-486031.18296338874
-113.08334158096083,-511137.8060404981
-113.0842479965453,-460632.83895619167
-113.0851544121298,-469962.3719289083
-113.08606082771426,-497486.2470754285
-113.08696724329873,-419752.7953114072
-113.08787365888323,-304224.9952689931
-113.08878007446769,-300229.3277725389
-113.08968649005219,-351737.2142195783
-113.09059290563665,-311130.20500903623
-113.09149932122112,-239374.2388358632
-113.09240573680562,-287061.1322346183
-113.09331215239008,-377894.4259139701
-113.09421856797455,-330876.9968072949
-113.09512498355905,-199161.41087506607
-113.09603139914351,-158351.98954458418
-113.09693781472798,-158947.3536428992
-113.09784423031248,-32508.07499516243
-113.09875064589694,158247.89122710808
-113.09965706148141,231715.3962989978
-113.1005634770659,247790.9922677119
-113.10146989265037,388851.95063661225
-113.10237630823484,584434.5729312936
-113.10328272381933,635645.4360903634
-113.1041891394038,608893.1378135006
-113.10509555498827,710786.2620367571
-113.10600197057276,879335.0966973181
-113.10690838615723,910429.8883252887
-113.10781480174172,876642.2030126303
-113.10872121732619,988456.6474987734
-113.10962763291066,1157987.4268889914
-113.11053404849515,1156604.478343002
-113.11144046407962,1086136.2369385916
-113.11234687966409,1215759.7197866873
-113.11325329524858,1475957.9579680727
-113.11415971083305,1616416.0565354787
-113.11506612641752,1730369.8991349451
-113.11597254200201,2085188.288678662
-113.11687895758648,2575016.9419958824
-113.11778537317095,2917035.017999902
-113.11869178875544,3242592.977463111
-113.11959820433991,3876597.021795459
-113.12050461992438,4688669.014824517
-113.12141103550887,5333192.701621173
-113.12231745109334,5968427.410602961
-113.1232238666778,7010347.076232855
-113.1241302822623,8352471.072814131
-113.12503669784677,9637247.307300977
-113.12594311343126,11119240.406976208
-113.12684952901573,13367876.372192072
-113.1277559446002,16313162.51408104
-113.12866236018469,19603576.715854365
-113.12956877576916,23725357.471134193
-113.13047519135363,29639991.978737567
-113.13138160693812,37555184.56377705
-113.13228802252259,47441959.194541045
-113.13319443810705,60590356.856667355
-113.13410085369155,79027154.45659053
-113.13500726927602,103505100.46771277
-113.13591368486048,133823280.08706075
-113.13682010044498,170293364.65468526
-113.13772651602945,210923938.31327447
-113.13863293161391,245921613.45105746
-113.13953934719841,259612979.8097448
-113.14044576278287,242774489.42231977
-113.14135217836734,202514799.4977764
-113.14225859395184,156837693.26665285
-113.1431650095363,119691377.03353368
-113.1440714251208,93492314.24686229
-113.14497784070527,74448511.98959424
-113.14588425628973,60039192.585599795
-113.14679067187423,49734008.60073562
-113.1476970874587,42352573.171687506
-113.14860350304316,36225708.285479344
-113.14950991862766,30986866.366831414
-113.15041633421212,27131573.057078786
-113.15132274979659,24389721.47162431
-113.15222916538109,21966954.479829974
-113.15313558096555,19807900.456336107
-113.15404199655002,18323373.688899893
-113.15494841213452,17264409.557972047
-113.15585482771898,15955898.17063558
-113.15676124330345,14347416.261568382
-113.15766765888795,12911686.852817457
-113.15857407447241,11752524.332471868
-113.15948049005688,10613152.748894662
-113.16038690564137,9538852.084033716
-113.16129332122584,8793225.772744708
-113.16219973681034,8281662.051286403
-113.1631061523948,7691180.79429667
-113.16401256797927,7051413.126195654
-113.16491898356377,6602769.736661281
-113.16582539914823,6271171.9608897045
-113.1667318147327,5795455.810323935
-113.1676382303172,5227111.05701622
-113.16854464590166,4818074.83141369
-113.16945106148613,4548045.194568691
-113.17035747707062,4212251.0382658895
-113.17126389265509,3846683.396161475
-113.17217030823956,3637951.7555853245
-113.17307672382405,3528712.2260390385
-113.17398313940852,3317117.735029424
-113.17488955499299,3044532.230120914
-113.17579597057748,2907405.9928064365
-113.17670238616195,2881937.559704707
-113.17760880174642,2793494.1287115896
-113.17851521733091,2666462.234541443
-113.17942163291538,2660849.5787156494
-113.18032804849987,2741004.705629731
-113.18123446408434,2734554.198698984
-113.18214087966881,2653135.923424786
-113.1830472952533,2648243.714648319
-113.18395371083777,2710333.364581477
-113.18486012642224,2703429.033763453
-113.18576654200673,2645442.535395963
-113.1866729575912,2679406.276420288
-113.18757937317567,2813867.9503663494
-113.18848578876016,2951972.7481656885
-113.18939220434463,3133656.0546466513
-113.1902986199291,3490384.289648249
-113.19120503551359,3973898.844222555
-113.19211145109806,4350713.367741064
-113.19301786668252,4457095.354578635
-113.19392428226702,4287409.246184472
-113.19483069785149,3882750.2084452123
-113.19573711343595,3321636.3840041505
-113.19664352902045,2775130.1272520334
-113.19754994460492,2384504.4162010443
-113.19845636018941,2110405.8807346597
-113.19936277577388,1844733.0133350992
-113.20026919135834,1605057.7865514532
-113.20117560694284,1466990.5385623449
-113.2020820225273,1388559.7364227292
-113.20298843811177,1277318.236953656
-113.20389485369627,1162119.7930197539
-113.20480126928074,1124095.8459972474
-113.2057076848652,1120851.4295794193
-113.2066141004497,1052167.766303131
-113.20752051603417,942616.8758345009
-113.20842693161863,889005.5116140097
-113.20933334720313,878838.5678737627
-113.2102397627876,826842.6091693481
-113.21114617837206,743087.0197344753
-113.21205259395656,701199.4704089519
-113.21295900954102,682111.0082254896
-113.21386542512549,608581.936019423
-113.21477184070999,499175.2462037406
-113.21567825629445,437029.79698075796
-113.21658467187895,418791.7435018183
-113.21749108746342,377507.1986083917
-113.21839750304788,320980.29259283934
-113.21930391863238,306705.2293352529
-113.22021033421684,311633.9937996047
-113.22111674980131,264844.51556719746
-113.2220231653858,182325.0540116597
-113.22292958097027,138641.92323068343
-113.22383599655474,131544.75109807402
-113.22474241213924,100382.45276412647
-113.2256488277237,51731.387617326574
-113.22655524330817,42843.245883237105
-113.22746165889266,64113.54960821569
-113.22836807447713,56872.6905870887
-113.2292744900616,26257.064327072585
-113.2301809056461,23799.24999029585
-113.23108732123056,40487.370964618865
-113.23199373681503,26282.573304761434
-113.23290015239952,-6418.655419147806
-113.23380656798399,-4502.8751517906785
-113.23471298356849,22685.819294264307
-113.23561939915295,22809.154537534807
-113.23652581473742,0.0
