delta,y
-62.150037058036744,0.0
-62.150943473621226,-38324.24513796589
-62.15184988920569,-96257.28006202425
-62.152756304790174,-83201.1506893707
-62.153662720374655,-27383.716305880225
-62.15456913595912,0.0
-62.1554755515436,-37469.59735613095
-62.156381967128084,-19327.887675857346
-62.15728838271255,17850.79250876716
-62.15819479829703,11946.062921224744
-62.15910121388151,0.0
-62.160007629465994,-3476.5481628455163
-62.16091404505046,13014.16376373067
-62.16182046063494,-10320.314583671105
-62.16272687621942,-33769.98693602756
-62.16363329180389,0.0
-62.16453970738837,32114.4367201766
-62.16544612297285,-1367.4713985044218
-62.16635253855732,-59537.31664952723
-62.1672589541418,-69294.04228117497
-62.16816536972628,-60069.23527800565
-62.16907178531076,-88811.39137135996
-62.16997820089523,-113437.64093391114
-62.17088461647971,-73351.31109059218
-62.17179103206419,-15287.805795646156
-62.17269744764866,-8271.410818287986
-62.17360386323314,-14659.62605319434
-62.17451027881762,26022.502845525916
-62.17541669440209,71011.41825115046
-62.17632310998657,61977.7772816394
-62.17722952557105,50219.38343535666
-62.17813594115553,102262.43191598379
-62.17904235674,168642.54404814553
-62.17994877232448,177955.30473043234
-62.18085518790896,170821.35163685243
-62.18176160349343,207935.47883629362
-62.18266801907791,238554.3825741199
-62.18357443466239,196458.10035312024
-62.18448085024687,133924.70998027863
-62.18538726583134,123990.12573953194
-62.18629368141582,122844.40649383643
-62.1872000970003,65556.78099017811
-62.18810651258477,3307.3061251767795
-62.18901292816925,7983.311902426591
-62.18991934375373,36111.51323114097
-62.190825759338196,24392.827128613833
-62.19173217492268,21617.76049644081
-62.19263859050716,87260.14287965419
-62.19354500609164,160475.50435327133
-62.194451421676106,171703.97944573173
-62.19535783726059,183289.3989763852
-62.19626425284507,276190.49023580976
-62.197170668429536,398581.2454639647
-62.19807708401402,471083.0857725056
-62.1989834995985,539866.6557735387
-62.199889915182965,678797.0860361295
-62.200796330767446,840579.315152926
-62.20170274635193,951643.7062999705
-62.20260916193641,1055321.342665862
-62.203515577520875,1216747.427482371
-62.204421993105356,1386349.3620798232
-62.20532840868984,1499521.3233239006
-62.206234824274304,1607600.2127057908
-62.207141239858785,1767826.6084692671
-62.208047655443266,1909762.3359755331
-62.20895407102773,1953656.1193248963
-62.209860486612214,1954854.1186836136
-62.210766902196696,1991977.880414345
-62.21167331778118,2024929.4262570979
-62.212579733365644,2004470.2642010655
-62.213486148950125,2004837.1723025888
-62.214392564534606,2101303.3878187733
-62.21529898011907,2229349.7309119203
-62.216205395703554,2304855.3077301076
-62.217111811288035,2364738.307899922
-62.2180182268725,2452247.270858758
-62.21892464245698,2494532.3370809276
-62.219831058041464,2439599.8080702825
-62.220737473625945,2383004.1622431017
-62.22164388921041,2410801.8154739253
-62.22255030479489,2449024.133963948
-62.223456720379374,2414570.858227498
-62.22436313596384,2375455.07820407
-62.22526955154832,2410774.6680685254
-62.226175967132804,2455465.6423507575
-62.22708238271727,2440696.708456249
-62.22798879830175,2446223.4084149003
-62.22889521388623,2556498.9473962085
-62.229801629470714,2707912.206089383
-62.23070804505518,2832161.899540141
-62.23161446063966,3001291.977723144
-62.23252087622414,3273709.6134609403
-62.23342729180861,3550452.1434463784
-62.23433370739309,3746238.956311374
-62.23524012297757,3951939.973116692
-62.23614653856204,4269554.842007079
-62.23705295414652,4639016.399168527
-62.237959369731,4976572.534761666
-62.23886578531548,5316591.361362439
-62.23977220089995,5667257.158825102
-62.24067861648443,5910173.039518664
-62.24158503206891,6005457.370600338
-62.24249144765338,6113551.0623798445
-62.24339786323786,6353940.471244891
-62.24430427882234,6632878.037285244
-62.24521069440681,6863867.898861597
-62.24611710999129,7147249.144499216
-62.24702352557577,7565292.182232024
-62.24792994116025,8020935.586067015
-62.24883635674472,8457224.98585404
-62.2497427723292,9013560.40757325
-62.25064918791368,9787071.148246972
-62.25155560349815,10671312.451816548
-62.25246201908263,11607453.5580993
-62.25336843466711,12747066.118213117
-62.254274850251576,14186932.036480991
-62.25518126583606,15807425.813169587
-62.25608768142054,17556378.274959777
-62.25699409700502,19612171.960982364
-62.25790051258949,22088807.623010527
-62.25880692817397,24897117.535070308
-62.25971334375845,28089107.072684117
-62.260619759342916,31997510.267300643
-62.2615261749274,36844400.211056285
-62.26243259051188,42604379.00116653
-62.263339006096345,49470284.74053561
-62.264245421680826,58036584.77054209
-62.26515183726531,68835494.07335772
-62.26605825284979,82227118.10929523
-62.266964668434255,98989935.48920187
-62.267871084018736,120397273.88566953
-62.26877749960322,147406358.27697337
-62.269683915187684,180363461.26530197
-62.270590330772166,219280441.31385732
-62.27149674635665,262321554.93603113
-62.272403161941114,302507298.6153811
-62.273309577525595,327669579.5783777
-62.274215993110076,327172891.5170347
-62.27512240869456,300258922.0769613
-62.276028824279024,257023645.26225284
-62.276935239863505,210796566.97724566
-62.277841655447986,170102395.5816337
-62.27874807103245,137144390.29094216
-62.279654486616934,111103484.88534486
-62.280560902201415,90781159.3184289
-62.28146731778588,74968051.02441876
-62.28237373337036,62445755.602952786
-62.283280148954844,52425575.89101109
-62.284186564539326,44542907.87138276
-62.28509298012379,38374303.08266303
-62.285999395708274,33375439.524642866
-62.286905811292755,29224493.447029024
-62.28781222687722,25820609.708779357
-62.2887186424617,22989730.700021446
-62.289625058046184,20509473.967086226
-62.29053147363065,18345443.09682525
-62.29143788921513,16570748.642536711
-62.29234430479961,15112850.89488604
